filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	barcode_arrangement	barcode_score	barcode_full_arrangement	front_score	rear_score	front_begin_index	front_foundseq_length	rear_end_index	rear_foundseq_length	kit	variant
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch183_read59_strand.fast5	cf0b0f2a-5099-42f1-9320-67eb73b5abd3	c84e1b3b351694f5ea8585eb5e8d11e136f15159	183	63.35725	1.61975	1266	0.0	1266	1.61975	1266	664	12.607	-0.002	unclassified	57.099998474121094	BC39_var2	57.099998474121094	53.49152374267578	18	44	0	40	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch181_read19_strand.fast5	cf700c8b-b1a7-40fc-bfc7-41d021b4ddab	c84e1b3b351694f5ea8585eb5e8d11e136f15159	181	29.85775	1.5495	1248	0.0	1248	1.5495	1248	667	10.413	-0.0014	unclassified	37.58490753173828	LWB05_var2	18.339622497558594	37.58490753173828	56	29	0	32	LBW	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch182_read64_strand.fast5	d11c5ec9-2a72-43d8-b5ab-5a2a4ae497bf	c84e1b3b351694f5ea8585eb5e8d11e136f15159	182	85.7125	1.5455	1205	0.03475	1205	1.51075	1205	573	10.734	-0.0014	unclassified	48.766666412353516	BC07_var2	48.766666412353516	26.27118682861328	29	60	14	41	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch183_read24_strand.fast5	d672a119-85cc-4e80-8ef4-dc33dda96578	c84e1b3b351694f5ea8585eb5e8d11e136f15159	183	29.42775	1.385	962	0.13275	962	1.25225	962	514	12.74	-0.0011	unclassified	45.01886749267578	LWB03_var1	16.90566062927246	45.01886749267578	98	41	1	37	LBW	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch182_read7_strand.fast5	d8ee045f-465a-467e-839c-4708daa22eba	c84e1b3b351694f5ea8585eb5e8d11e136f15159	182	11.33075	3.44575	2620	0.10075	2620	3.345	2620	1568	10.634	-0.0007	barcode05	63.28302001953125	LWB05_var1	63.28302001953125	19.01886749267578	11	46	0	44	LBW	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch181_read16_strand.fast5	eb7c5119-f411-4b7b-b7ae-7fe563a54c93	c84e1b3b351694f5ea8585eb5e8d11e136f15159	181	26.70275	1.938	1153	0.46825	1153	1.46975	1153	650	11.973	-0.0009	barcode04	73.66666412353516	BC04_var2	73.66666412353516	53.050846099853516	23	49	0	42	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch17_read7_strand.fast5	f1dc9fb2-ab7f-4890-9826-7df8e3f91592	c84e1b3b351694f5ea8585eb5e8d11e136f15159	17	109.197	1.26	933	0.07975	933	1.18025	933	539	12.817	-0.0007	barcode05	86.71186065673828	BC05_var1	86.71186065673828	58.0	28	58	0	47	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch17_read5_strand.fast5	f298f537-33a4-473e-bbcd-8d4c6995defe	c84e1b3b351694f5ea8585eb5e8d11e136f15159	17	105.1945	1.88325	1474	0.00775	1474	1.8755	1474	866	12.776	-0.0007	barcode02	91.59322357177734	BC02_var1	91.59322357177734	34.03333282470703	32	58	71	43	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch181_read3_strand.fast5	f46e91ad-9caa-4462-9f06-0dc2a37a6a10	c84e1b3b351694f5ea8585eb5e8d11e136f15159	181	6.8795	1.59725	986	0.323	986	1.27425	986	574	12.736	-0.0013	barcode02	89.53333282470703	BC02_var2	89.53333282470703	52.20338821411133	30	60	0	46	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch182_read13_strand.fast5	f691d91c-c02e-45d5-bb71-fbb4f6987a50	c84e1b3b351694f5ea8585eb5e8d11e136f15159	182	18.421	6.38325	5194	0.025	5194	6.35825	5194	3387	10.1	-0.0009	unclassified	37.11864471435547	BC02_var1	37.11864471435547	18.566667556762695	35	33	4	32	BC	var1
